,ResidntCntry,freq
1,Afghanistan,3
2,Albania,1
3,Algeria,3
4,Andorra,1
5,Argentina,2
6,Australia,87
7,Austria,3
8,Bahamas,1
9,Belgium,4
10,Bolivia,1
11,Brazil,12
12,Bulgaria,1
13,Canada,185
14,Chile,4
15,China,11
16,Croatia,2
17,Czech Republic,3
18,Denmark,7
19,Dominican Republic,1
20,Ecuador,3
21,Finland,11
22,France,8
23,Germany,23
24,Ghana,1
25,Greece,5
26,Guyana,1
27,Hong Kong,3
28,Hungary,1
29,India,41
30,Iran,1
31,Ireland,16
32,Italy,24
33,Japan,10
34,Kenya,1
35,Lithuania,1
36,Macedonia,1
37,Malaysia,2
38,Malta,2
39,Mexico,9
40,Myanmar,1
41,Netherlands,11
42,New Zealand,9
43,Nicaragua,1
44,Norway,10
45,Pakistan,1
46,Peru,2
47,Philippines,8
48,Poland,3
49,Portugal,5
50,Qatar,1
51,Romania,5
52,Russia,1
53,Saudi Arabia,1
54,Singapore,4
55,Slovenia,3
56,South Africa,10
57,South Korea,1
58,Spain,9
59,Sweden,9
60,Switzerland,9
61,Thailand,1
62,Turkey,8
63,Ukraine,1
64,United Kingdom,138
65,United States,2059
66,Uruguay,1
67,Venezuela,2
68,Vietnam,1
